Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,19.101,18.375,no data,no data,no data,no data,no data,no data,no data
Denmark,6.593,6.667,6.917,7.148,7.309,7.389,7.411,7.576,7.607,7.683,7.599,7.546,7.5,7.369,7.328,7.269,7.282,7.303,7.311,7.331,7.384,7.404,7.461,7.425,7.383,7.366,7.294,7.275,7.433,7.425,7.573,7.466,7.564,7.355,7.329,7.303,7.081,6.852,6.741,6.692,6.799,6.692,6.775,6.525,6.481,6.493,6.507,6.527,6.548
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.427,69.787,70.145,71.635,75.016,77.06,78.021,79.005,79.836,80.414,80.282,80.127,78.897,78.928,79.393,79.43,79.745,81.509,87.7,88.496,90.901,93.572,98.27,100.152,102.111,103.302,106.126,106.023,104.213,102.837,103.317,100.557,98.506,95.697,95.733,96.192,96.729,97.377,98.005
Dominica,1.581,1.47,1.45,1.499,1.536,1.607,1.665,1.717,1.733,1.808,1.798,1.873,1.911,1.917,2.02,1.994,2.023,2.017,2.045,2.068,1.986,1.983,1.968,1.87,1.89,1.806,1.793,1.773,1.765,1.895,1.878,1.87,1.859,1.867,1.811,1.841,1.826,1.738,1.743,1.789,1.746,1.721,1.719,1.761,1.77,1.769,1.77,1.773,1.776
Dominican Republic,0.632,0.619,0.627,0.643,0.77,1.033,1.108,1.237,1.715,2.04,2.959,4.529,4.675,4.794,5.17,5.552,5.653,6.082,6.406,6.559,6.876,7.13,7.507,9.825,13.89,14.246,14.737,15.445,16.729,17.204,17.925,18.976,20.189,20.887,21.359,21.151,20.819,21.613,21.976,22.134,22.881,23.6,24.418,24.618,24.98,25.451,25.951,26.501,27.072
Ecuador,0.647,0.582,0.541,0.471,0.464,0.504,0.351,0.341,0.283,0.267,0.254,0.262,0.27,0.302,0.342,0.356,0.36,0.381,0.371,0.276,0.248,0.311,0.343,0.372,0.378,0.395,0.414,0.43,0.48,0.48,0.51,0.528,0.551,0.543,0.544,0.554,0.549,0.535,0.532,0.525,0.516,0.507,0.498,0.489,0.486,0.484,0.482,0.48,0.479
Egypt,0.186,0.182,0.189,0.204,0.205,0.216,0.224,0.299,0.333,0.388,0.457,0.501,0.611,0.655,0.685,0.749,0.788,0.821,0.843,0.839,0.86,0.857,0.864,0.905,0.984,1.013,1.055,1.157,1.274,1.407,1.531,1.675,1.747,1.875,2.162,2.296,2.563,3.267,3.866,4.315,4.521,4.538,4.68,5.678,7.393,8.671,9.641,10.518,11.27
El Salvador,0.387,0.331,0.328,0.298,0.207,0.194,0.191,0.185,0.205,0.223,0.312,0.325,0.328,0.348,0.374,0.407,0.426,0.433,0.446,0.444,0.449,0.453,0.453,0.457,0.458,0.463,0.468,0.476,0.483,0.48,0.487,0.505,0.524,0.51,0.496,0.488,0.473,0.463,0.459,0.455,0.452,0.46,0.462,0.474,0.479,0.48,0.482,0.485,0.487
Equatorial Guinea,74.381,77.766,102.843,123.462,149.711,221.71,210.981,209.014,209.924,192.315,195.999,196.765,164.841,157.5,191.799,187.86,202.934,174.664,117.214,159.916,134.521,122.488,118.159,153.952,165.228,203.552,226.532,227.272,267.238,210.224,259.465,297.509,295.038,289.679,284.185,277.464,267.943,248.934,266.217,253.253,224.561,257.732,251.675,213.421,226.141,230.54,236.73,241.627,246.071
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.001,0.999,1.105,1.208,1.312,1.343,1.452,1.552,1.819,2.047,2.341,2.798,3.401,3.549,3.835,4.006,4.413,5.494,6.003,6.077,6.391,6.09,6.072,5.827,5.809,5.47,4.978,4.654,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.135,0.185,0.244,0.293,0.317,0.335,0.352,0.357,0.372,0.385,0.392,0.399,0.41,0.434,0.474,0.497,0.492,0.495,0.512,0.521,0.522,0.527,0.537,0.528,0.534,0.546,0.556,0.544,0.551,0.598,0.63,0.637,0.642,0.645,0.648,0.65
